ID,Category,Feature,Status,Usage and limitations,Sources,Commit,Reviewed on
R10,"⏪ Recovery, repair and rewind",Forking a run from an earlier exchange,Conditional / limited,Create a resumable run with modified inputs and restore the code snapshot when available; conversational precision depends on the backend.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/cli-reference.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/pkg/runview/fork.go,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
G01,🌿 Working and delivering in a repository,Separate worktree per run,Conditional / limited,"Isolate a run's Git changes; behavior depends on mode and repository, particularly for empty repositories.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/dsl.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/repo-scope.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/adr/064-worktree-finalization-requires-delegated-authority.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
G02,🌿 Working and delivering in a repository,Git finalization policy,Conditional / limited,Retain or integrate the result according to the selected policy; finalization authority must be granted.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/cli-reference.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/adr/064-worktree-finalization-requires-delegated-authority.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
G03,🌿 Working and delivering in a repository,Merge gate with result review,Conditional / limited,"Review, corrections and merge/squash decision within the supported flow; configure acceptance criteria and the target branch.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/review-merge-gate.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
G04,🌿 Working and delivering in a repository,Changes and commits view,Documented,"Inspect modified files, diffs and commits from a run; metadata is persisted for documented cloud paths.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/visual-editor.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/adr/068-persist-run-diff-content-for-cloud-panels.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
G05,🌿 Working and delivering in a repository,Conservative worktree pool cleanup,Conditional / limited,"Bounded collection of eligible old worktrees preserves dirty, active or recoverable work; it is not a strict disk cap.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/worktree-pool.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
G06,🌿 Working and delivering in a repository,Devbox tooling environment,Conditional / limited,Prepare tooling declared by the bot and repository; requires a compatible installation and execution environment.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/adr/017-devbox-first-bot-toolchain.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
G07,🌿 Working and delivering in a repository,"Repository targeting, connection and creation",Conditional / limited,"Guided forge connection, target selection and authorized creation in cloud Studio. Manifests also support optional or no repository requirements; creation needs forge permissions.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/repo-scope.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
T01,"⚡ Triggers, scheduling and chaining",Manifest-defined invocations,Documented,"Declare forge, command, schedule, board and keepalive inputs, with direct launch or card creation.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/bot-invocations.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
T02,"⚡ Triggers, scheduling and chaining",Multi-forge and JSON inbound webhooks,Documented,"GitHub, GitLab, Forgejo/Gitea or generic payloads; configurable event/project/author filters and authentication.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/webhooks.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
T03,"⚡ Triggers, scheduling and chaining",Forge commands and conversations,Conditional / limited,"Slash commands and bot replies in authorized GitHub/GitLab threads; replies still rely on a skill, while native forge.reply is deferred.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/forge-conversations.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/bot-invocations.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
T04,"⚡ Triggers, scheduling and chaining",Local and cloud scheduling,Documented,"Cron, guards and overlap policy; runs through host cron locally or the platform scheduler.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/scheduling.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
T05,"⚡ Triggers, scheduling and chaining",Keepalive and availability waits,Conditional / limited,Relaunch recurring missions using guards and availability windows; configure behavior per bot and backend.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/scheduling.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/bot-invocations.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
T06,"⚡ Triggers, scheduling and chaining",Triggers on events and run outcomes,Documented,"Subscribe to board events, explicit events or run completion to chain missions.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/adr/046-event-driven-runs-trigger-spine.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
T07,"⚡ Triggers, scheduling and chaining",Durable outbox for cloud board effects,Conditional / limited,"Materialization, claim, retry and permanent failure for trigger effects; at-least-once execution with documented residual failure windows.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/adr/094-trigger-effect-outbox.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
T08,"⚡ Triggers, scheduling and chaining",Automatic mission outcome routing,Conditional / limited,"Policy frozen at launch for merge, relaunch or escalation; server option and decision log.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/outcome-router.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
T09,"⚡ Triggers, scheduling and chaining",HTTP callbacks and web notifications,Conditional / limited,"HMAC-signed completion callbacks, operator alerts and Web Push require configuration; native desktop notifications are deferred.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/outbound-callbacks.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/notifications.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/usage-caps.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
K01,📋 Coordinating team work,Native kanban independent of a forge,Documented,"Cards, columns, labels, priorities, assignments and comments through Studio or CLI.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/native-tracker.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
K02,📋 Coordinating team work,Typed custom fields and dependencies,Documented,"Validated card schema, hard blockers and waiting_deps state prevent premature launches.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/native-tracker.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
K03,📋 Coordinating team work,Autonomous issue dispatcher,Conditional / limited,"Selection, claim, launch, retries, stall detection and concurrency limits; native tracker and configurable adapters.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/dispatcher.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
K04,📋 Coordinating team work,Pipeline board and mission control,Documented,"View planned tasks and active runs, launch by priority and limit concurrent pipelines.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/visual-editor.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/native-tracker.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
K05,📋 Coordinating team work,GitHub Projects V2 synchronization,Conditional / limited,"Bidirectional statuses; issue fields synchronize according to a specific mapping, not arbitrary field replication.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/github-board-sync.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
K06,📋 Coordinating team work,"Links between cards, runs and results",Documented,"Latest run, worktree, wait states and event history establish work provenance.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/native-tracker.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
K07,📋 Coordinating team work,Configuration editor for non-operators,Conditional / limited,"Share revocable access to selected repository file fields; forge commits, conflict checks and audit, without operator Studio access.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/config-share.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
P01,"🔐 Permissions, secrets and data",Tool permissions and read-only mode,Conditional / limited,"Ask/deny gates on agent calls: claw, Claude Code and pi RPC; Kimi/Grok deny only, Codex without this gate. permission: does not apply to shell tool nodes.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/permissions.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/delegation.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
P02,"🔐 Permissions, secrets and data",Execution sandbox,Conditional / limited,"Configurable isolation by backend, driver and deployment; auto can degrade, while Codex uses its own sandbox.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/sandbox.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
P03,"🔐 Permissions, secrets and data",Bot-bound secrets and host controls,Conditional / limited,Bindings limit supplied secrets; allowed_hosts covers supported egress paths. This guarantee does not extend to every shell call.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/secrets-reference.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
P04,"🔐 Permissions, secrets and data",Secrets sealed at rest,Documented,AES-256-GCM with record binding; authorized cloud components share the key. Automatic master-key rotation is not currently available.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/secrets-reference.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
P05,"🔐 Permissions, secrets and data",File-based secret injection,Conditional / limited,"Materialize a secret with as: file, with in-run refresh on supported paths.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/secrets-reference.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/adr/069-mid-run-file-secret-refresh-for-sandboxed-runs.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
P06,"🔐 Permissions, secrets and data",Local sensitive-data detection and masking,Conditional / limited,"Go-based privacy_filter covers accounts, emails, phone numbers, URLs and secrets. Person names, postal addresses and dates are excluded.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/privacy_filter.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
P07,"🔐 Permissions, secrets and data",Restoring masked values,Conditional / limited,"privacy_unfilter restores original values if the vault file is retained; the vault is not replicated to Mongo/S3. Trace masking targets privacy_filter inputs and privacy_unfilter outputs, not data flowing elsewhere.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/privacy_filter.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/pkg/backend/tool/privacy/vault.go ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/pkg/runner/loop.go,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
P08,"🔐 Permissions, secrets and data",Upload and browser preview controls,Conditional / limited,"MIME, size, path and SSRF controls on covered routes; active content is restricted, without a general guarantee that files are harmless.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/attachments.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/browser-pane.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
P09,"🔐 Permissions, secrets and data",System credential vault for desktop,Conditional / limited,"macOS Keychain, Windows Credential Manager or Linux Secret Service integration requires the system service. Separate from cloud secret sealing.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/desktop.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/cmd/iterion-desktop/keychain.go,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
E01,"🏢 Organizations, access and usage","Multi-tenant organizations, teams and roles",Documented,Separate platform resources by tenant and assign operator/administrator permissions and editing capabilities.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/cloud-overview.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/config-share.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
E02,"🏢 Organizations, access and usage",Organization SSO,Documented,"Generic OIDC and dedicated connectors, with organization-specific configuration and access policies.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/adr/035-per-org-sso-generic-oidc-plus-dedicated-connectors.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
E03,"🏢 Organizations, access and usage",User or organization LLM keys,Documented,"BYOK, defaults and launch/integration overrides follow the resolution chain; providers bill separately.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/byok.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/secrets-reference.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
E04,"🏢 Organizations, access and usage",Subscription/OAuth authentication,Conditional / limited,Reuse authentication supported by CLI backends within the limits of those accounts and their providers.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/oauth-forfait.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/backends.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
E05,"🏢 Organizations, access and usage",Opt-in contributor credential pool,Conditional / limited,"Credential lending with audience, availability, limits and per-run leases; does not increase provider quotas.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/credential-pool.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
E06,"🏢 Organizations, access and usage","Run budgets: cost, tokens, duration and iterations",Conditional / limited,"Configurable limits, backend-dependent estimates, finalization headroom and separate sub-bot budgets; not a universal billing cap.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/dsl.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
E07,"🏢 Organizations, access and usage",Platform quotas and launch admission,Conditional / limited,"Concurrency, rate, monthly and cost quotas; quota reads can allow a launch through on storage errors.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/quotas-and-limits.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
E08,"🏢 Organizations, access and usage",Subscription usage-window protection,Conditional / limited,Adjustable soft/hard thresholds and policies; measurement is currently specific to Claude Code and separate from monetary budgets.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/usage-caps.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
E09,"🏢 Organizations, access and usage",Personal tokens and administration audit,Documented,Attributed API access and administrative actions; change history covers supported operations.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/cloud-rest-api.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/secrets-reference.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
E10,"🏢 Organizations, access and usage",Effective settings and their origins,Documented,"Launch displays backend, permission, compression and auto-memory values and provenance, plus nodes with their own settings.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/settings-precedence.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
U01,🔎 Observing and inspecting results,Live run console,Documented,"Graph, events, logs and counters for monitoring execution in Studio.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/visual-editor.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
U02,🔎 Observing and inspecting results,Artifacts and history per step/iteration,Documented,Versioned outputs and persisted events for inspecting completed runs.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/persisted-formats.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
U03,🔎 Observing and inspecting results,Cost reports and usage statistics,Documented,"Breakdown by model/provider, run counts, failures and P50/P95 durations; precision depends on available accounting.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/visual-editor.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
U04,🔎 Observing and inspecting results,Session task list,Conditional / limited,Deterministic TodoWrite/todo_write history reconstructed from events; currently populated by Claude Code and claw.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/session-board.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
U05,🔎 Observing and inspecting results,AI-generated monitoring widgets,Conditional / limited,"Notes, metrics, checklists, progress and charts; local opt-in with an evaluation budget, not currently wired to cloud.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/session-board.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
U06,🔎 Observing and inspecting results,Web previews and timestamped captures,Conditional / limited,"Result URLs, run-linked captures and live browser through manual local attachment; cloud live browsing and Playwright auto-attach are deferred.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/browser-pane.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
U07,🔎 Observing and inspecting results,Browsable file deliverables,Documented,A tool can publish a generated file as a run attachment using a stdout directive; publication failures are reported without failing the tool.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/attachments.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
U08,🔎 Observing and inspecting results,Post-mortem worktree terminal,Conditional / limited,"Inspect an idle run in its retained environment; local Unix only, without a cloud host terminal.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/post-mortem-shell.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
U09,🔎 Observing and inspecting results,"Structured logs, errors and tracing",Conditional / limited,"Process JSON, alerts and Sentry/GlitchTip integration; a DSN is required and tracing is enabled separately.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/observability.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
U10,🔎 Observing and inspecting results,"Prometheus, OTLP and Grafana dashboards",Conditional / limited,"Metrics endpoint and supplied observability stack; costs, tokens, retries and durations depend on data exposed by each backend.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/observability/README.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
U11,🔎 Observing and inspecting results,Direct run file editing,Conditional / limited,"Edit a text file in a retained local worktree; 4 MiB limit, without Git staging, locking or concurrent conflict checks. Separate from the bot editor.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/adr/016-in-run-worktree-file-editor.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
D01,⚙️ Deploying and evaluating the platform,"CLI, Studio, desktop app and self-hosted cloud",Documented,Multiple interfaces around the same engine; feature parity is incomplete.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/current-state.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/desktop.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
D02,⚙️ Deploying and evaluating the platform,Distributed runners and platform storage,Documented,"NATS queue, runners, MongoDB and S3 storage; Kubernetes architecture and scaling require operation.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/cloud-architecture.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
D03,⚙️ Deploying and evaluating the platform,Bot sources frozen at cloud launch,Documented,"Hashed snapshot of parent, sub-bots and resources; runners do not silently substitute their own catalog version.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/bot-bundle-snapshots.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
D04,⚙️ Deploying and evaluating the platform,API and TypeScript SDK,Documented,"Control runs, resume and consume events; documented SDK support for Node, Deno and Bun.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/cloud-rest-api.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/README.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
D05,⚙️ Deploying and evaluating the platform,Recipes and variant comparison,Documented,"Combine workflow, parameters, prompts, budgets and evaluation policy into benchmark campaigns.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/recipes.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
D06,⚙️ Deploying and evaluating the platform,Convergence analysis on recorded runs,Conditional / limited,bench asymptote aggregates verdicts by iteration without replaying LLMs; it neither guarantees convergence nor constitutes a completed competitive benchmark.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/asymptote-bench.md,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
D07,⚙️ Deploying and evaluating the platform,MIT-licensed source code,Documented,"Modifiable, self-hostable engine; third-party components and services retain their own terms.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/LICENSE,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
D08,⚙️ Deploying and evaluating the platform,Desktop multi-project switching,Documented,Select and return to multiple projects in the native app; onboarding prepares a first project.,https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/desktop.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/cmd/iterion-desktop/bindings.go,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
D09,⚙️ Deploying and evaluating the platform,Desktop updates with signature verification,Conditional / limited,"Verify the manifest and artifact using Ed25519, then offer installation according to package and platform. This does not imply macOS notarization or Windows signing.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/docs/desktop.md ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/cmd/iterion-desktop/updater.go,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
C01,🤖 Methods supplied as bots,Application and feature development,Bot method,"app-dev, feature-dev, feature-gap-fill, bmady bundles; workflows adaptable to the repository and acceptance criteria.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/bots/app-dev/main.bot ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/bots/feature-dev/main.bot ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/bots/feature-gap-fill/main.bot ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/bots/bmady/main.bot,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
C02,🤖 Methods supplied as bots,Code review and review dialogue,Bot method,"review-pr, revi-converse and review helpers; verify forge coverage and permissions.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/bots/review-pr/main.bot ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/bots/revi-converse/main.bot,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
C03,🤖 Methods supplied as bots,Continuous improvement and modernization,Bot method,"whole-improve-loop, branch-improve-loop, modernize, evolve; each bot defines its checks and approval steps.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/bots/whole-improve-loop/main.bot ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/bots/branch-improve-loop/main.bot ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/bots/modernize/main.bot ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/bots/evolve/main.bot,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
C04,🤖 Methods supplied as bots,"Tests, coverage and instrumentation",Bot method,"test-coverage, e2e-coverage, golden-master, instrument build or inspect evidence suited to the project.",https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/bots/test-coverage/main.bot ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/bots/e2e-coverage/main.bot ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/bots/golden-master/main.bot ; https://github.com/SocialGouv/iterion/blob/bbc1ddc7844b81582b6dfc4d0b7f381680bb284b/bots/instrument/main.bot,bbc1ddc7844b81582b6dfc4d0b7f381680bb284b,2026-09-11
